subject,day,condition,choice_correct,confidence
sub14,1,predictable,True,7
sub14,1,unpredictable,False,3
sub14,1,unpredictable,False,7
sub14,1,predictable,False,6
sub14,1,unpredictable,False,2
sub14,1,unpredictable,False,6
sub14,1,unpredictable,False,4
sub14,1,predictable,False,6
sub14,1,unpredictable,False,3
sub14,1,unpredictable,False,1
sub14,1,predictable,True,6
sub14,1,predictable,False,5
sub15,1,unpredictable,False,1
sub15,1,unpredictable,False,1
sub15,1,predictable,False,3
sub15,1,predictable,False,2
sub15,1,unpredictable,True,2
sub15,1,unpredictable,True,1
sub15,1,predictable,False,2
sub15,1,predictable,True,3
sub15,1,unpredictable,False,4
sub15,1,predictable,False,2
sub15,1,predictable,False,5
sub15,1,unpredictable,False,2
sub15,1,predictable,False,3
sub15,1,predictable,True,6
sub15,1,unpredictable,False,2
sub15,1,unpredictable,False,3
sub16,1,predictable,False,2
sub16,1,unpredictable,False,1
sub16,1,predictable,False,1
sub16,1,unpredictable,True,2
sub16,1,predictable,True,3
sub16,1,predictable,True,5
sub16,1,predictable,True,3
sub16,1,predictable,False,1
sub16,1,unpredictable,False,1
sub16,1,predictable,False,1
sub16,1,unpredictable,False,1
sub16,1,unpredictable,False,3
sub16,1,predictable,False,1
sub16,1,unpredictable,False,1
sub16,1,unpredictable,True,1
sub16,1,unpredictable,True,2
sub17,1,unpredictable,False,2
sub17,1,predictable,False,2
sub17,1,predictable,True,3
sub17,1,unpredictable,True,2
sub17,1,predictable,True,3
sub17,1,unpredictable,False,4
sub17,1,unpredictable,False,3
sub17,1,predictable,True,2
sub17,1,predictable,False,3
sub17,1,predictable,True,4
sub17,1,unpredictable,False,2
sub17,1,predictable,False,1
sub17,1,predictable,False,3
sub17,1,unpredictable,True,3
sub17,1,unpredictable,False,3
sub17,1,unpredictable,False,2
sub18,1,unpredictable,False,5
sub18,1,unpredictable,False,1
sub18,1,unpredictable,False,5
sub18,1,unpredictable,False,5
sub18,1,predictable,True,7
sub18,1,unpredictable,False,5
sub18,1,predictable,False,2
sub18,1,predictable,False,4
sub18,1,predictable,True,7
sub18,1,predictable,True,5
sub18,1,predictable,True,7
sub18,1,unpredictable,False,4
sub18,1,unpredictable,True,3
sub18,1,unpredictable,True,2
sub18,1,predictable,True,6
sub18,1,predictable,True,7
sub19,1,unpredictable,False,4
sub19,1,predictable,False,1
sub19,1,predictable,True,4
sub19,1,unpredictable,False,2
sub19,1,unpredictable,True,1
sub19,1,predictable,True,7
sub19,1,unpredictable,False,1
sub19,1,unpredictable,False,1
sub19,1,predictable,True,4
